Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00010_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 1763.3s; Iterations = 2300, grads =   1.400e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1780.0s; Iterations = 2320, grads =   3.071e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1795.1s; Iterations = 2340, grads =   1.189e-05, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1810.2s; Iterations = 2360, grads =   2.740e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1825.2s; Iterations = 2380, grads =   3.175e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1840.3s; Iterations = 2400, grads =   9.994e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1856.3s; Iterations = 2420, grads =   1.729e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1871.3s; Iterations = 2440, grads =   1.597e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1886.3s; Iterations = 2460, grads =   2.224e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1901.4s; Iterations = 2480, grads =   5.020e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1916.4s; Iterations = 2500, grads =   7.694e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1932.5s; Iterations = 2520, grads =   1.285e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1947.6s; Iterations = 2540, grads =   1.591e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1962.6s; Iterations = 2560, grads =   9.800e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1977.6s; Iterations = 2580, grads =   8.731e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 1992.7s; Iterations = 2600, grads =   1.940e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 2008.7s; Iterations = 2620, grads =   2.957e-04, unitary_metric = 1.00023
Error = :7.49e-01; Runtime: 2023.8s; Iterations = 2640, grads =   2.570e-03, unitary_metric = 1.00025
Error = :5.68e-01; Runtime: 2038.8s; Iterations = 2660, grads =   5.854e-01, unitary_metric = 1.00019
Error = :5.06e-01; Runtime: 2054.0s; Iterations = 2680, grads =   4.191e-02, unitary_metric = 1.00020
Error = :5.01e-01; Runtime: 2069.0s; Iterations = 2700, grads =   5.989e-03, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2085.1s; Iterations = 2720, grads =   8.020e-04, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2100.1s; Iterations = 2740, grads =   6.467e-05, unitary_metric = 1.00020
Error = :5.00e-01; Runtime: 2115.2s; Iterations = 2760, grads =   1.263e-05, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2130.2s; Iterations = 2780, grads =   8.757e-07, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2145.3s; Iterations = 2800, grads =   3.559e-07, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2161.2s; Iterations = 2820, grads =   3.190e-07, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2176.3s; Iterations = 2840, grads =   5.500e-07, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2191.3s; Iterations = 2860, grads =   1.211e-06, unitary_metric = 1.00018
Error = :4.99e-01; Runtime: 2206.4s; Iterations = 2880, grads =   3.466e-06, unitary_metric = 1.00019
