Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00005_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 1401.5s; Iterations = 1900, grads =   1.347e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1416.8s; Iterations = 1920, grads =   1.063e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1431.0s; Iterations = 1940, grads =   1.993e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1445.9s; Iterations = 1960, grads =   2.278e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1460.5s; Iterations = 1980, grads =   2.596e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1475.6s; Iterations = 2000, grads =   3.160e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1491.1s; Iterations = 2020, grads =   4.894e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1505.9s; Iterations = 2040, grads =   2.111e-04, unitary_metric = 1.00021
Error = :7.51e-01; Runtime: 1520.5s; Iterations = 2060, grads =   6.271e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1534.7s; Iterations = 2080, grads =   6.048e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1548.9s; Iterations = 2100, grads =   7.223e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1564.2s; Iterations = 2120, grads =   2.139e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1578.4s; Iterations = 2140, grads =   2.122e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1592.6s; Iterations = 2160, grads =   1.596e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1606.8s; Iterations = 2180, grads =   9.371e-05, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1621.5s; Iterations = 2200, grads =   1.060e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1637.2s; Iterations = 2220, grads =   2.734e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1652.2s; Iterations = 2240, grads =   2.767e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1666.7s; Iterations = 2260, grads =   2.084e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1681.3s; Iterations = 2280, grads =   2.055e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1695.9s; Iterations = 2300, grads =   1.400e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1711.8s; Iterations = 2320, grads =   3.071e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1726.0s; Iterations = 2340, grads =   1.189e-05, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1740.7s; Iterations = 2360, grads =   2.740e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1755.2s; Iterations = 2380, grads =   3.175e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1769.8s; Iterations = 2400, grads =   9.994e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1785.4s; Iterations = 2420, grads =   1.729e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1800.0s; Iterations = 2440, grads =   1.597e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1814.4s; Iterations = 2460, grads =   2.224e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1829.1s; Iterations = 2480, grads =   5.020e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1843.3s; Iterations = 2500, grads =   7.694e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1859.2s; Iterations = 2520, grads =   1.285e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1873.5s; Iterations = 2540, grads =   1.591e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1888.2s; Iterations = 2560, grads =   9.800e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1902.5s; Iterations = 2580, grads =   8.731e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 1917.2s; Iterations = 2600, grads =   1.940e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1932.5s; Iterations = 2620, grads =   2.957e-04, unitary_metric = 1.00023
Error = :7.49e-01; Runtime: 1947.3s; Iterations = 2640, grads =   2.570e-03, unitary_metric = 1.00025
Error = :5.68e-01; Runtime: 1961.7s; Iterations = 2660, grads =   5.854e-01, unitary_metric = 1.00019
Error = :5.06e-01; Runtime: 1976.1s; Iterations = 2680, grads =   4.191e-02, unitary_metric = 1.00020
Error = :5.01e-01; Runtime: 1990.9s; Iterations = 2700, grads =   5.989e-03, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2006.5s; Iterations = 2720, grads =   8.020e-04, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2020.7s; Iterations = 2740, grads =   6.467e-05, unitary_metric = 1.00020
Error = :5.00e-01; Runtime: 2035.5s; Iterations = 2760, grads =   1.263e-05, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2050.0s; Iterations = 2780, grads =   8.757e-07, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2064.2s; Iterations = 2800, grads =   3.559e-07, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2080.1s; Iterations = 2820, grads =   3.190e-07, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2094.6s; Iterations = 2840, grads =   5.500e-07, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2109.2s; Iterations = 2860, grads =   1.211e-06, unitary_metric = 1.00018
Error = :4.99e-01; Runtime: 2123.8s; Iterations = 2880, grads =   3.466e-06, unitary_metric = 1.00019
Error = :4.98e-01; Runtime: 2138.5s; Iterations = 2900, grads =   1.667e-05, unitary_metric = 1.00020
Error = :4.89e-01; Runtime: 2154.3s; Iterations = 2920, grads =   3.889e-04, unitary_metric = 1.00021
Error = :1.49e-01; Runtime: 2168.9s; Iterations = 2940, grads =   2.467e+00, unitary_metric = 1.00019
Error = :1.44e-02; Runtime: 2183.4s; Iterations = 2960, grads =   1.669e-01, unitary_metric = 1.00016
Error = :1.41e-03; Runtime: 2198.0s; Iterations = 2980, grads =   1.291e-02, unitary_metric = 1.00017
Error = :8.73e-04; Runtime: 2203.8s; Iterations = 2988, grads =   6.275e-03, unitary_metric = 1.00016
data saved at: /project/ftchong/qoc/pranav/00005_01_beh2_slice_44.h5


trying total_time: 20.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00006_01_beh2_slice_44.h5
Using 7 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.99e-01; Runtime: 0.7s; Iterations = 0, grads =   2.608e-04, unitary_metric = 1.00002
Error = :8.84e-01; Runtime: 8.8s; Iterations = 20, grads =   7.223e-03, unitary_metric = 1.00000
Error = :8.33e-01; Runtime: 15.8s; Iterations = 40, grads =   3.394e-03, unitary_metric = 1.00000
