Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_31_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 1290.2s; Iterations = 1660, grads =   1.114e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1305.7s; Iterations = 1680, grads =   8.409e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1321.1s; Iterations = 1700, grads =   8.465e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1338.0s; Iterations = 1720, grads =   1.545e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1353.4s; Iterations = 1740, grads =   6.745e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1368.8s; Iterations = 1760, grads =   2.092e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1384.1s; Iterations = 1780, grads =   1.951e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1399.5s; Iterations = 1800, grads =   9.716e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1416.1s; Iterations = 1820, grads =   1.587e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1431.5s; Iterations = 1840, grads =   8.793e-05, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1446.9s; Iterations = 1860, grads =   2.971e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 1462.4s; Iterations = 1880, grads =   2.076e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1477.9s; Iterations = 1900, grads =   2.098e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1494.5s; Iterations = 1920, grads =   7.423e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1510.0s; Iterations = 1940, grads =   2.654e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1525.4s; Iterations = 1960, grads =   2.232e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1540.8s; Iterations = 1980, grads =   4.485e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1556.4s; Iterations = 2000, grads =   3.148e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1572.9s; Iterations = 2020, grads =   6.978e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1588.3s; Iterations = 2040, grads =   8.191e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1603.8s; Iterations = 2060, grads =   2.092e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1619.2s; Iterations = 2080, grads =   4.577e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1634.6s; Iterations = 2100, grads =   3.909e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1651.4s; Iterations = 2120, grads =   5.975e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 1666.8s; Iterations = 2140, grads =   1.318e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1682.2s; Iterations = 2160, grads =   3.482e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1697.6s; Iterations = 2180, grads =   5.553e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1713.1s; Iterations = 2200, grads =   9.887e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1729.6s; Iterations = 2220, grads =   4.676e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1745.0s; Iterations = 2240, grads =   8.336e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1760.5s; Iterations = 2260, grads =   6.676e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1776.0s; Iterations = 2280, grads =   1.296e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1791.4s; Iterations = 2300, grads =   1.268e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1808.0s; Iterations = 2320, grads =   1.681e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1823.4s; Iterations = 2340, grads =   3.460e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1838.8s; Iterations = 2360, grads =   2.591e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1854.3s; Iterations = 2380, grads =   7.219e-05, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1869.8s; Iterations = 2400, grads =   1.326e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1886.7s; Iterations = 2420, grads =   1.302e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1902.1s; Iterations = 2440, grads =   3.067e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1917.6s; Iterations = 2460, grads =   9.055e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1933.0s; Iterations = 2480, grads =   5.721e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1948.5s; Iterations = 2500, grads =   1.069e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1965.1s; Iterations = 2520, grads =   6.381e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1980.6s; Iterations = 2540, grads =   9.051e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1995.9s; Iterations = 2560, grads =   1.217e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 2011.4s; Iterations = 2580, grads =   5.817e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 2026.9s; Iterations = 2600, grads =   1.107e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 2043.4s; Iterations = 2620, grads =   1.766e-03, unitary_metric = 1.00030
Error = :7.49e-01; Runtime: 2058.8s; Iterations = 2640, grads =   1.005e-03, unitary_metric = 1.00028
Error = :6.32e-01; Runtime: 2074.1s; Iterations = 2660, grads =   7.266e-01, unitary_metric = 1.00025
Error = :4.16e-01; Runtime: 2089.3s; Iterations = 2680, grads =   1.671e-01, unitary_metric = 1.00026
Error = :5.31e-02; Runtime: 2104.7s; Iterations = 2700, grads =   6.314e-01, unitary_metric = 1.00021
Error = :4.51e-03; Runtime: 2121.2s; Iterations = 2720, grads =   2.880e-02, unitary_metric = 1.00020
Error = :8.59e-04; Runtime: 2127.4s; Iterations = 2728, grads =   1.262e-02, unitary_metric = 1.00020
data saved at: /project/ftchong/qoc/pranav/00000_31_beh2_slice_44.h5


trying total_time: 20.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00001_31_beh2_slice_44.h5
Using 7 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.99e-01; Runtime: 0.7s; Iterations = 0, grads =   2.359e-04, unitary_metric = 1.00002
Error = :8.82e-01; Runtime: 9.3s; Iterations = 20, grads =   7.857e-03, unitary_metric = 1.00000
Error = :8.27e-01; Runtime: 16.8s; Iterations = 40, grads =   2.424e-03, unitary_metric = 1.00000
Error = :7.56e-01; Runtime: 24.4s; Iterations = 60, grads =   8.888e-03, unitary_metric = 0.99999
Error = :7.51e-01; Runtime: 32.0s; Iterations = 80, grads =   1.157e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 39.5s; Iterations = 100, grads =   3.085e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 47.6s; Iterations = 120, grads =   2.397e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 55.0s; Iterations = 140, grads =   1.578e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 62.6s; Iterations = 160, grads =   3.439e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 70.2s; Iterations = 180, grads =   3.735e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 77.7s; Iterations = 200, grads =   7.156e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 85.8s; Iterations = 220, grads =   3.508e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 93.3s; Iterations = 240, grads =   5.038e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 100.8s; Iterations = 260, grads =   6.876e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 108.3s; Iterations = 280, grads =   4.072e-04, unitary_metric = 0.99999
Error = :7.51e-01; Runtime: 115.8s; Iterations = 300, grads =   9.825e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 123.9s; Iterations = 320, grads =   3.951e-04, unitary_metric = 0.99999
