Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.25e-01; Runtime: 281.2s; Iterations = 1520, grads =   3.591e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 284.5s; Iterations = 1540, grads =   2.496e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 287.9s; Iterations = 1560, grads =   2.133e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 291.3s; Iterations = 1580, grads =   7.217e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 294.7s; Iterations = 1600, grads =   5.822e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 298.6s; Iterations = 1620, grads =   1.911e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 302.0s; Iterations = 1640, grads =   2.974e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 305.3s; Iterations = 1660, grads =   1.647e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 308.7s; Iterations = 1680, grads =   1.635e-04, unitary_metric = 1.00003
Error = :1.26e-01; Runtime: 312.1s; Iterations = 1700, grads =   1.266e-01, unitary_metric = 1.00003
Error = :1.25e-01; Runtime: 316.0s; Iterations = 1720, grads =   3.813e-02, unitary_metric = 1.00003
Error = :1.25e-01; Runtime: 319.4s; Iterations = 1740, grads =   6.133e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 322.8s; Iterations = 1760, grads =   3.579e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 326.2s; Iterations = 1780, grads =   2.018e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 329.5s; Iterations = 1800, grads =   7.712e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 333.5s; Iterations = 1820, grads =   1.875e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 336.8s; Iterations = 1840, grads =   1.637e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 340.2s; Iterations = 1860, grads =   3.911e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 343.6s; Iterations = 1880, grads =   4.717e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 347.0s; Iterations = 1900, grads =   1.764e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 350.9s; Iterations = 1920, grads =   7.037e-03, unitary_metric = 1.00003
Error = :1.27e-01; Runtime: 354.3s; Iterations = 1940, grads =   1.798e-01, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 357.6s; Iterations = 1960, grads =   1.551e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 361.0s; Iterations = 1980, grads =   2.981e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 364.4s; Iterations = 2000, grads =   1.139e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 368.3s; Iterations = 2020, grads =   2.862e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 371.7s; Iterations = 2040, grads =   9.800e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 375.1s; Iterations = 2060, grads =   5.665e-06, unitary_metric = 1.00003
