Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_02_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 1133.7s; Iterations = 1520, grads =   4.862e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1148.6s; Iterations = 1540, grads =   3.367e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1163.3s; Iterations = 1560, grads =   5.541e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1177.9s; Iterations = 1580, grads =   6.370e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1192.8s; Iterations = 1600, grads =   8.112e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1208.9s; Iterations = 1620, grads =   2.895e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1223.6s; Iterations = 1640, grads =   2.416e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1238.2s; Iterations = 1660, grads =   8.700e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1253.0s; Iterations = 1680, grads =   2.200e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1268.2s; Iterations = 1700, grads =   4.812e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1283.9s; Iterations = 1720, grads =   1.661e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1298.5s; Iterations = 1740, grads =   1.226e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1313.2s; Iterations = 1760, grads =   1.294e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1327.8s; Iterations = 1780, grads =   3.946e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1342.5s; Iterations = 1800, grads =   5.364e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1358.1s; Iterations = 1820, grads =   1.632e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1372.8s; Iterations = 1840, grads =   4.876e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1387.4s; Iterations = 1860, grads =   3.669e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1402.0s; Iterations = 1880, grads =   8.835e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1416.7s; Iterations = 1900, grads =   1.347e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1432.2s; Iterations = 1920, grads =   1.063e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1447.4s; Iterations = 1940, grads =   1.993e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1462.3s; Iterations = 1960, grads =   2.278e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1476.9s; Iterations = 1980, grads =   2.596e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1491.5s; Iterations = 2000, grads =   3.160e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1507.7s; Iterations = 2020, grads =   4.894e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1522.4s; Iterations = 2040, grads =   2.111e-04, unitary_metric = 1.00021
Error = :7.51e-01; Runtime: 1537.0s; Iterations = 2060, grads =   6.271e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1551.6s; Iterations = 2080, grads =   6.048e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1566.7s; Iterations = 2100, grads =   7.223e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1582.7s; Iterations = 2120, grads =   2.139e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1597.8s; Iterations = 2140, grads =   2.122e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1612.5s; Iterations = 2160, grads =   1.596e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1627.7s; Iterations = 2180, grads =   9.371e-05, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1642.6s; Iterations = 2200, grads =   1.060e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1658.3s; Iterations = 2220, grads =   2.734e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1673.0s; Iterations = 2240, grads =   2.767e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1688.0s; Iterations = 2260, grads =   2.084e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1702.9s; Iterations = 2280, grads =   2.055e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1717.5s; Iterations = 2300, grads =   1.400e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1733.3s; Iterations = 2320, grads =   3.071e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1748.4s; Iterations = 2340, grads =   1.189e-05, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1763.2s; Iterations = 2360, grads =   2.740e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1777.9s; Iterations = 2380, grads =   3.175e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1792.1s; Iterations = 2400, grads =   9.994e-04, unitary_metric = 1.00022
